region,pv,wind_onshore,wind_offshore,year
DE11,4.306902086677368,558.3571428571429,706.5,2000
DE12,6.536978933213807,251.65217391304347,662.4782608695651,2000
DE13,9.274015748031495,128.59999999999997,427.4,2000
DE14,3.8792762227876727,166.88888888888889,327.66666666666663,2000
DE21,10.59498956158664,2676.6666666666665,887.0,2000
DE22,,,,2000
DE23,89.76923076923076,300.00000000000006,728.0,2000
DE24,2.6000000000000023,360.5,344.0,2000
DE25,2.8720104633781762,364.08333333333337,281.3333333333333,2000
DE26,77.6413043478261,42.80434782608696,1502.9999999999998,2000
DE27,19.958333333333336,76.46153846153847,644.8461538461539,2000
DE30,179.875,137.40625,3392.0,2000
DE40,201.15530303030303,123.75757575757574,3020.0,2000
DE50,25.015873015872998,92.55555555555556,680.0,2000
DE60,,,,2000
DE71,40.509803921568626,238.92156862745097,4160.999999999999,2000
DE72,12.533712428919577,49.314378554021125,1137.0,2000
DE73,2.230392156862745,448.00000000000006,920.0,2000
DE80,79.11111111111111,666.0,713.0,2000
DE91,39.80000000000009,97.99999999999986,2249.0,2000
DE92,25.847409909909913,97.99324324324321,2013.9999999999998,2000
DE93,19.836317135549873,590.8030690537084,2983.0,2000
DE94,26.961538461538453,461.0,3573.0,2000
DEA1,20.728260869565222,4079.4999999999995,1209.5,2000
DEA2,11.80357142857143,950.0625,1234.75,2000
DEA3,10.477011494252876,733.6666666666666,231.66666666666666,2000
DEA4,4.392880258899677,986.77928802589,310.2207119741099,2000
DEA5,9.244511278195489,557.9285714285713,399.28571428571433,2000
DEB1,9.761574074074078,65.8587962962963,996.0,2000
DEB2,1.8148148148148144,23.682098765432098,407.99999999999994,2000
DEB3,78.3050483351235,150.66165413533835,3137.0,2000
DEC0,8.914056224899598,47.97938420348059,959.0,2000
DED2,21.602739726027398,106.47619047619048,1564.0,2000
DED4,12.036697247706423,85.54545454545455,1365.0,2000
DED5,17.582278481012658,60.22943037974684,1479.0,2000
DEE0,32.368932038834956,589.4822006472492,4327.0,2000
DEF0,14.114285714285712,1399.3333333333335,3141.0,2000
DEG0,19.585106382978722,57.63484042553192,1825.0,2000
DE11,24.607182940516275,151.27272727272728,1167.5,2001
DE12,14.06846590909091,100.86363636363636,818.7840909090909,2001
DE13,13.609141791044777,125.62499999999999,422.6875,2001
DE14,21.93333333333333,523.3333333333334,1240.0,2001
DE21,77.17777777777778,122.05714285714285,3336.0,2001
DE22,8.246408839779006,562.2486187845304,110.50276243093921,2001
DE23,12.214814814814817,49.66666666666667,334.79999999999995,2001
DE24,2.075344279661017,79.50397245762713,209.24602754237287,2001
DE25,14.905885167464115,20.345454545454544,533.3236363636364,2001
DE26,15.57083333333334,21.2,409.96666666666664,2001
DE27,28.86842105263158,284.0,1334.0,2001
DE30,20.205128205128204,223.875,1058.0,2001
DE40,23.119707467282527,64.63067744418782,887.8333333333333,2001
DE50,14.724999999999998,75.46666666666667,203.6,2001
DE60,,,,2001
DE71,54.51282051282057,40.80882352941176,1219.3333333333333,2001
DE72,10.16687370600414,28.238095238095237,309.6666666666667,2001
DE73,16.752688172043015,23.666666666666668,400.3333333333333,2001
DE80,,,,2001
DE91,28.588404133180262,25.313432835820894,624.6119402985074,2001
DE92,34.705128205128204,22.192307692307693,669.0,2001
DE93,58.77777777777779,142.375,656.3333333333334,2001
DE94,71.46173469387757,161.06122448979596,972.3877551020407,2001
DEA1,43.9501708428246,469.62699316628704,2102.186503416857,2001
DEA2,118.600790513834,1090.0909090909092,1603.7272727272727,2001
DEA3,55.15773809523809,103.93750000000001,790.5,2001
DEA4,36.791414141414165,23.961111111111116,652.1666666666666,2001
DEA5,52.011342155009466,75.34782608695652,1103.0,2001
DEB1,23.743489583333332,73.77083333333334,427.83333333333337,2001
DEB2,21.57894736842105,7.369230769230769,399.0,2001
DEB3,24.027016520894076,194.45714285714286,827.5142857142857,2001
DEC0,45.608695652173914,47.74999999999999,1036.0,2001
DED2,124.8552631578947,16.157894736842106,489.4210526315789,2001
DED4,421.0,34.96153846153847,425.0,2001
DED5,278.8333333333333,70.33333333333334,418.99999999999994,2001
DEE0,34.96065573770492,183.29999999999998,1012.5,2001
DEF0,26.962566844919785,2484.0,2698.0,2001
DEG0,17.654517133956386,113.43333333333332,566.8333333333333,2001
DE11,12.160714285714247,212.57142857142875,806.142857142857,2002
DE12,4.899112271540471,132.72,443.23999999999995,2002
DE13,0.14075630252100785,485.7777777777777,256.3333333333333,2002
DE14,0.0,1435.0,695.0,2002
DE21,84.67071428571431,355.875,535.9642857142857,2002
DE22,49.92875,810.34,50.32,2002
DE23,,,,2002
DE24,5.805798435342846,169.02439024390245,162.85365853658536,2002
DE25,,,,2002
DE26,,,,2002
DE27,5.785063752276864,237.27777777777777,315.2222222222223,2002
DE30,,,,2002
DE40,11.673539518900341,1459.0,396.33333333333337,2002
DE50,,,,2002
DE60,,,,2002
DE71,,,,2002
DE72,2.453665283540804,1027.0,150.18257261410787,2002
DE73,,,,2002
DE80,9.11574074074074,1237.0,259.75,2002
DE91,,,,2002
DE92,,,,2002
DE93,,,,2002
DE94,,,,2002
DEA1,,,,2002
DEA2,97.21874999999999,810.25,1430.765625,2002
DEA3,,,,2002
DEA4,,,,2002
DEA5,,,,2002
DEB1,2.9419703103913637,247.54166666666669,222.83333333333331,2002
DEB2,0.7809330628803246,126.6,138.0,2002
DEB3,11.222668093454612,190.23809523809524,475.3412698412699,2002
DEC0,1.8127962085308058,286.79999999999995,315.0,2002
DED2,0.0,1730.0,1954.0,2002
